Drop,Mob,Chance,Location,Type
EPIC Hound Pet,"['Wolf', 'Old Wolf', 'Soul Of The Alpha', 'Pack Spirit', 'Howling Spirit']","['0.001%', '0.003%', '0.003%', '0.003%', '0.003%']","['Ruins', 'Ruins', 'Howling Cave', 'Howling Cave', 'Howling Cave']",Pet
LEGENDARY Hound Pet,"['Wolf', 'Old Wolf', 'Soul Of The Alpha', 'Pack Spirit', 'Howling Spirit']","['0.0003%', '0.001%', '0.001%', '0.001%', '0.001%']","['Ruins', 'Ruins', 'Howling Cave', 'Howling Cave', 'Howling Cave']",Pet
Wolf Talisman,['Old Wolf'],['0.1%'],['Ruins'],Accessory
Weak Wolf Catalyst,['Soul Of The Alpha'],['0.089%'],['Howling Cave'],Item
Travel Scroll To The Howling Cave,"['Soul Of The Alpha', 'Pack Spirit', 'Howling Spirit']","['0.035%', '0.02%', '0.02%']","['Howling Cave', 'Howling Cave', 'Howling Cave']",Item
Foraging Exp Boost,['Soul Of The Alpha'],['0.01%'],['Howling Cave'],Item
Pelt Dye,"['Trackable Trapper Animal', 'Untrackable Trapper Animal', 'Undetected Trapper Animal', 'Endangered Trapper Animal', 'Elusive Trapper Animal']","['1/250000', '1/200000', '1/150000', '1/100000', '1/10000']","['Mushroom Desert', 'Mushroom Desert', 'Mushroom Desert', 'Mushroom Desert', 'Mushroom Desert']",Dye
Exp Share Core,"['Sneaky Creeper', 'Lapis Zombie', 'Redstone Pigman', 'Emerald Slime', 'Miner Zombie', 'Miner Skeleton']","['0.01%', '0.01%', '0.01%', '0.01%', '0.01%', '0.01%']","['Gunpowder Mines', 'Multiple', 'Multiple', 'Multiple', 'Deep Caverns', 'Deep Caverns']",Item
Lapis Armor Chestplate,['Lapis Zombie'],['1%'],['Multiple'],Item
Lapis Armor Leggings,['Lapis Zombie'],['1%'],['Multiple'],Item
Lapis Armor Boots,['Lapis Zombie'],['1%'],['Multiple'],Item
Lapis Armor Helmet,['Lapis Zombie'],['1%'],['Multiple'],Item
Lapis Crystal,['Lapis Zombie'],['1%'],['Multiple'],Item
Flaming Sword,['Redstone Pigman'],['1%'],['Multiple'],Item
Miner Helmet,"['Miner Zombie', 'Miner Skeleton']","['1%', '1%']","['Deep Caverns', 'Deep Caverns']",Item
Miner Leggings,"['Miner Zombie', 'Miner Skeleton']","['1%', '1%']","['Deep Caverns', 'Deep Caverns']",Item
Miner Chestplate,"['Miner Zombie', 'Miner Skeleton']","['1%', '1%']","['Deep Caverns', 'Deep Caverns']",Item
Miner Boots,"['Miner Zombie', 'Miner Skeleton']","['1%', '1%']","['Deep Caverns', 'Deep Caverns']",Item
